State,year,Insurance,MedianIncome,MeanIncome,Value_Total,Value_Urban,Value_Rural,UrbanPop,Proportion_Rural,pop_18plus,Medicaid,SCHIZOFLG_prev,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,age50_54,age55_59,age60_64,age65_69,age70_74,age75_79,age80_84,age85_over,total_age,prop_20_24,prop_25_29,prop_30_34,prop_35_39,prop_40_44,prop_45_49,prop_50_54,prop_55_59,prop_60_64,prop_65_69,prop_70_74,prop_75_79,prop_80_84,prop_85_over,white,black,american_indian,asian,native_hawaiian,some_other,prop_white,prop_black,prop_american_indian,prop_asian,prop_native_hawaiian,prop_some_other,mar_frac,ment_frac,frac_9th_12_nodiploma,frac_associate,frac_bachelor,frac_grad_prof,frac_hs_or_higher,frac_less9,state_id
north_dakota,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13325786366944287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
ohio,2013,0.89,48081,65129,11799448,9001099,2798349,0.7628406854286743,0.23715931457132572,9053374,1,0.1350140818105329,756589,796104,743150,713647,682186,726013,757827,826243,779175,663994,490012,345380,230586,260649,8771555,0.08625483166895721,0.0907597341634408,0.08472272020183423,0.08135923448008933,0.07777252722008811,0.08276901872016991,0.08639596969978527,0.094195726983414,0.08882974569503355,0.0756985505990671,0.05586375505825364,0.03937500249385656,0.026287927283132808,0.029715255732877466,9080688,1478781,30720,298509,5034,224344,0.7695858314727944,0.1253262864500102,0.0026035116218996006,0.0252985563392457,4.2663012710425095e-4,0.019013092815867317,0.18987396301091725,0.123048048164143,0.06501587155828234,0.08764803244330668,0.17943644427187838,0.10946546747671793,0.9078261841659715,0.027157944275746148,22
oklahoma,2013,0.823,45690,62014,3959353,2558611,1400742,0.6462194707064512,0.3537805292935487,2971579,1,0.15424557579060508,275225,278620,266489,258868,234015,230707,231785,253943,238058,200863,159420,112541,76686,69685,2886905,0.09533566224035775,0.09651166214336807,0.09230958413941574,0.08966973281074368,0.08106085929394975,0.0799149954709282,0.08028840574940983,0.0879637535699997,0.08246132103411785,0.0695772808596057,0.05522176864150362,0.03898327101168899,0.026563395747348804,0.024138307287562284,2514885,289961,332791,90949,8608,214001,0.6351757471485872,0.0732344400713955,0.08405186402929973,0.022970672228518143,0.0021740925853289666,0.05404948737836712,0.1934998194562554,0.09355295618928522,0.07569610365741591,0.08226122649022852,0.17167723457697728,0.08980273234086872,0.885502052318814,0.03880184402377014,23
pennsylvania,2013,0.903,52007,71597,13002700,9941070,3061630,0.7645389034585125,0.23546109654148753,10141022,1,0.043146838326843094,811852,861467,832349,768657,734107,794890,856709,920735,885980,751747,566107,399666,279815,337769,9801850,0.08282640521942286,0.08788820477766952,0.08491754107642945,0.07841958405811147,0.0748947392584053,0.0810959155669593,0.08740278620872591,0.09393481842713365,0.09038905920821069,0.07669439952661998,0.05775511765636079,0.040774547661920964,0.02854716201533384,0.034459719338696265,9750687,1423169,31052,510501,4276,508531,0.7498970982949695,0.1094518061633353,0.0023881193905881085,0.03926115345274443,3.288547763156883e-4,0.03910964645804333,0.1743414026712495,0.10827311093497283,0.05940891199308387,0.08626698248431201,0.19514031037604235,0.12816532328483277,0.9099035394668609,0.030687548540055294,24
south_carolina,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28818614646436574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
california,2014,0.8759999999999999,61933,88595,39538223,37259490,2278733,0.9423663273890686,0.057633672610931455,30476517,1,0.2689110918672405,2694636,3084036,2923877,2710180,2523723,2537197,2501958,2485487,2254188,1865387,1404993,951622,657751,764744,29359779,0.09177984616301096,0.10504288877651292,0.09958784090302587,0.09230927794109077,0.0859585148784669,0.0864174420386475,0.08521719458446878,0.0846561889992428,0.07677809836375131,0.06353545781117767,0.047854345225146276,0.03241243743694392,0.022403131849187283,0.026047335029327025,16296122,2237044,631016,6085947,157263,8370596,0.41216121422553564,0.056579275199090256,0.015959644923850016,0.1539256582168602,0.00397749286810386,0.21170895818964852,NA,NA,0.07194943601090008,0.07964806339122202,0.21619336524840688,0.13095920768172892,0.8392456398977497,0.08880492409135027,4
maine,2014,0.899,49462,65842,1362359,526309,836050,0.38632181385376396,0.613678186146236,1083273,1,NA,75117,80364,80556,77768,76088,85408,94872,106687,104075,94309,70157,46261,31420,34420,1057502,0.07103248977306899,0.07599418251691249,0.07617574245722467,0.0735393408239417,0.07195069134621022,0.08076391344886345,0.08971330550675082,0.10088586120877313,0.09841588952077632,0.08918091880677294,0.0663421913150046,0.04374554374365249,0.029711527732335256,0.03254840179971291,1237041,25752,7885,16798,443,9730,0.9080139669499743,0.018902506608023287,0.005787754916288585,0.012330083333394502,3.251712654300372e-4,0.007142023504817747,NA,NA,0.04510146225766884,0.10220229339820947,0.20332761595504817,0.12157046371839961,0.9322821500735455,0.02261638766878566,14
nevada,2014,0.848,51450,67029,3104614,2921203,183411,0.9409230905999909,0.05907690940000915,2312576,1,0.20903028722571992,182581,225061,218691,206217,196878,199256,194479,196759,178459,163738,131291,87253,50385,45353,2276401,0.08020599182657186,0.09886702738225822,0.09606875062873368,0.09058904823886477,0.08648651973004756,0.08753115114604149,0.0854326632258552,0.08643424423025645,0.07839523880019382,0.07192845197309261,0.05767481212668594,0.03832936288465872,0.022133622327524895,0.019923115479214777,1588463,304739,43932,272703,25011,435757,0.5116458922107547,0.09815680789946835,0.014150551405102213,0.0878379727721385,0.00805607395959691,0.14035786735484668,NA,NA,0.07739203943032352,0.08413282899198594,0.16644458453926317,0.08811263623425128,0.8691391810184257,0.053468779551250824,19
michigan,2014,0.915,49847,66794,10077331,7404258,2673073,0.734743951548282,0.265256048451718,7785662,1,NA,692245,681417,607208,597347,568240,625249,663337,711025,687010,574807,432985,290291,193922,220836,7545919,0.09173766641279876,0.0903027185953096,0.08046839622847794,0.07916159714939956,0.07530428036664587,0.08285922496650176,0.08790672150072112,0.09422642888162462,0.0910439139354663,0.07617455209895574,0.057380022234534984,0.03846993321820709,0.025698924146946182,0.029265620264410472,7444974,1376579,61261,334300,3051,221851,0.7387843070749587,0.13660154658014112,0.006079089790739235,0.0331734662680029,3.0275873641542585e-4,0.022014856910029055,NA,NA,0.05974386876294379,0.09614215674687766,0.1825469084172956,0.11731138656434491,0.9129936731744172,0.027262458062639106,15
arizona,2014,0.8640000000000001,50068,68103,7151502,6385230,766272,0.8928515995660772,0.10714840043392283,5382780,1,0.19310897435897437,491151,513314,473473,452699,429416,429475,421470,436015,427990,399549,330049,240633,151588,140385,5337207,0.09202397433713926,0.09617652079074317,0.08871175504341502,0.08481945706808823,0.08045706302940846,0.08046811750040798,0.0789682693588613,0.08169347750611884,0.08018988208626722,0.07486106497274699,0.0618392728631286,0.04508594101746475,0.028402121184357285,0.0263030832418529,4322337,339150,319512,257430,16397,899870,0.6043956919819081,0.047423604160356805,0.044677607585091914,0.03599663399380997,0.0022928050638872785,0.12582951105935508,NA,NA,0.07002581067986008,0.08855716896379241,0.18803497111878195,0.11503581469136964,0.8786809314626162,0.05129325785752373,2
